,image number,image_name,condition,time when it onsets
0,12,SC79,scene,391.02722580000045
0,13,SC23,scene,391.54073770000105
0,14,SC13,scene,392.0558481999997
0,15,SC70,scene,392.5699732000012
0,16,SC73,scene,393.08651459999965
0,17,SC8,scene,393.59950449999997
0,18,SC3,scene,394.1130651000003
0,19,SC68,scene,394.62694980000015
0,20,SC61,scene,395.1401334000002
0,1,SCR_FACE_14,scrambled,405.66288499999973
0,2,SCR_FACE_23,scrambled,406.1777020999998
0,3,SCR_FACE_29,scrambled,406.69154569999955
0,4,SCR_FACE_55,scrambled,407.20585610000126
0,5,SCR_FACE_44,scrambled,407.72240469999997
0,6,SCR_FACE_42,scrambled,408.2355914
0,7,SCR_FACE_10,scrambled,408.74937580000005
0,8,SCR_FACE_59,scrambled,409.2659951000005
0,9,SCR_FACE_64,scrambled,409.7786128000007
0,10,SCR_FACE_72,scrambled,410.2917742999998
0,11,SCR_FACE_27,scrambled,410.8049726999998
0,12,SCR_FACE_50,scrambled,411.3178504999996
0,13,SCR_FACE_60,scrambled,411.83158860000003
0,14,SCR_FACE_19,scrambled,412.34473009999965
0,15,SCR_FACE_5,scrambled,412.85806720000073
0,16,SCR_FACE_20,scrambled,413.3705824000008
0,17,SCR_FACE_52,scrambled,413.883877100001
0,18,SCR_FACE_32,scrambled,414.39715179999985
0,19,SCR_FACE_79,scrambled,414.91099980000035
0,20,SCR_FACE_70,scrambled,415.4244230000004
0,1,FACE_6,Face,425.9453322999998
0,2,FACE_66,Face,426.45867139999973
0,3,FACE_39,Face,426.9709616
0,4,FACE_21,Face,427.48570500000096
0,5,FACE_18,Face,427.999394800001
0,6,FACE_30,Face,428.51351969999996
0,7,FACE_80,Face,429.0278080999997
0,8,FACE_67,Face,429.5416716
0,9,FACE_57,Face,430.0550997999999
0,10,FACE_17,Face,430.56771690000096
0,11,FACE_52,Face,431.0816880000002
0,12,FACE_29,Face,431.59475399999974
0,13,FACE_49,Face,432.1107444999998
0,14,FACE_72,Face,432.62364460000026
0,15,FACE_58,Face,433.1360566000003
0,16,FACE_23,Face,433.6494192000009
0,17,FACE_3,Face,434.16359720000037
0,18,FACE_44,Face,434.6763546000002
0,19,FACE_31,Face,435.18947560000015
0,20,FACE_37,Face,435.7033341000006
0,1,SC34,scene,446.2263128000013
0,2,SC27,scene,446.7394920000006
0,3,SC55,scene,447.2522692000002
0,4,SC28,scene,447.76566300000013
0,5,SC37,scene,448.280035400001
0,6,SC76,scene,448.7932013000009
0,7,SC69,scene,449.3068765000007
0,8,SC78,scene,449.8203666999998
0,9,SC3,scene,450.3317654000002
0,10,SC60,scene,450.84727960000055
0,11,SC22,scene,451.36003060000075
0,12,SC54,scene,451.8726009000002
0,13,SC18,scene,452.38606079999954
0,14,SC20,scene,452.89906770000016
0,15,SC40,scene,453.4145822999999
0,16,SC46,scene,453.9269640000002
0,17,SC77,scene,454.4413689000012
0,18,SC61,scene,454.95531070000106
0,19,SC74,scene,455.4689973000004
0,20,SC36,scene,455.9807887999996
0,1,SCR_FACE_38,scrambled,466.50436290000107
0,2,SCR_FACE_79,scrambled,467.0182291000001
0,3,SCR_FACE_34,scrambled,467.5319149999996
0,4,SCR_FACE_31,scrambled,468.04492260000006
0,5,SCR_FACE_22,scrambled,468.5576148
0,6,SCR_FACE_28,scrambled,469.0715555000006
0,7,SCR_FACE_16,scrambled,469.5863272000006
0,8,SCR_FACE_29,scrambled,470.09984780000013
0,9,SCR_FACE_36,scrambled,470.6130948000009
0,10,SCR_FACE_59,scrambled,471.12489020000066
0,11,SCR_FACE_1,scrambled,471.63770529999965
0,12,SCR_FACE_49,scrambled,472.14970379999977
0,13,SCR_FACE_35,scrambled,472.66291960000126
0,14,SCR_FACE_45,scrambled,473.1760742000006
0,15,SCR_FACE_30,scrambled,473.68953619999957
0,16,SCR_FACE_69,scrambled,474.20378490000076
0,17,SCR_FACE_5,scrambled,474.7168349000003
0,18,SCR_FACE_11,scrambled,475.22966579999957
0,19,SCR_FACE_62,scrambled,475.74367750000056
0,20,SCR_FACE_19,scrambled,476.2565555000001
